종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","23340","320","1.39","23343.68","22960","23430","22915","83136","1932742958","178551000000","0","7650000","코스피 200","713.96","9.32","1.32"
"491610","1Q CD금리액티브(합성)","103105","15","0.01","102851.84","103100","103105","103095","15778","1626708539","215077030000","0","2086000","KIS 하나 CD금리 총수익지수","11665.84","0.00","0.00"
"0103T0","1Q K소버린AI","10370","45","0.44","10392.93","10330","10465","10305","263691","2732961420","30073000000","0","2900000","iSelect K소버린AI 지수","2051.25","7.26","0.36"
"463290","1Q 단기금융채액티브","107380","5","0.00","107387.97","107410","107410","107380","2447","262775975","216048560000","0","2012000","MK 머니마켓 지수(총수익)","14504.67","0.12","0.00"
"0131W0","1Q 단기특수은행채액티브","100450","5","0.00","100453.23","100455","100455","100450","128","12857980","110294100000","0","1098000","KIS 단기특수은행채 지수(총수익)","115.28","0.00","0.00"
"479080","1Q 머니마켓액티브","52715","5","0.01","52710.43","52705","52715","52705","120442","6348751647","911126060000","0","17284000","KIS-하나 MMF 지수(총수익)","118.65","0.00","0.00"
"0026S0","1Q 미국S&P500","12325","-145","-1.16","12429.45","12360","12360","12305","353147","4353379184","236640000000","0","19200000","S&P 500","6940.01","0.00","0.00"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11670","-85","-0.72","11724.70","11700","11705","11660","486868","5687617911","227565000000","0","19500000","S&P 500 and Short-Term Treasury 50/50 Blend Index","277.28","0.00","0.00"
"0069M0","1Q 미국나스닥100","12360","-190","-1.51","12494.30","12395","12395","12340","312917","3869334496","95172000000","0","7700000","NASDAQ 100","25529.26","0.00","0.00"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10610","-85","-0.79","10663.36","10625","10635","10600","612272","6499264876","174004000000","0","16400000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2882.40","0.00","0.00"
"0083S0","1Q 미국메디컬AI","12110","-165","-1.34","12244.16","12195","12195","12110","195688","2376289886","54495000000","0","4500000","KEDI 미국메디컬AI 지수","2158.20","0.00","0.00"
"0004G0","1Q 미국배당TOP30","9390","-150","-1.57","9454.00","9420","9425","9385","23455","220459853","9390000000","0","1000000","Solactive U.S. Dividend TOP 30 Index PR","4182.41","0.00","0.00"
"0131V0","1Q 미국우주항공테크","15595","375","2.46","15518.50","15500","15890","15390","3795231","59408485387","297864500000","0","19100000","Akros 미국우주항공테크 지수","5273.44","0.00","0.00"
"0094X0","1Q 샤오미밸류체인액티브","10295","-40","-0.39","10333.58","10335","10405","10245","75228","778854982","23678500000","0","2300000","Solactive-KEDI Xiaomi Focus China Tech Index","1962.08","-19.28","-0.97"
"0017Y0","1Q 종합채권(AA-이상)액티브","97520","-355","-0.36","97506.92","97715","97790","97520","58","5662430","70604480000","0","724000","KIS 종합채권형 지수(AA-이상)(총수익)","124.05","0.00","0.00"
"0052T0","1Q 중단기회사채(A-이상)액티브","50100","-5","-0.01","50099.51","50100","50100","50080","63","3156060","167033400000","0","3334000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.29","0.00","0.00"
