표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7095570008,95570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015-08-21,KOSPI,주권,,보통주,1000,45252759,,95570,95570,95570,095570,095570
KR7006840003,6840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999-08-11,KOSPI,주권,,보통주,5000,13247561,,6840,6840,6840,006840,006840
KR7282330000,282330,BGF리테일보통주,BGF리테일,BGF Retail,2017-12-08,KOSPI,주권,,보통주,1000,17283906,,282330,282330,282330,282330,282330
KR7027410000,27410,BGF보통주,BGF,BGF,2014-05-19,KOSPI,주권,,보통주,1000,95716791,,27410,27410,27410,027410,027410
KR7138930003,138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011-03-30,KOSPI,주권,,보통주,5000,310327033,,138930,138930,138930,138930,138930
KR7001461003,1465,BYC1우선주,BYC우,BYC(1P),1989-09-05,KOSPI,주권,,구형우선주,500,2153850,,1465,1465,1465,001465,001465
KR7001460005,1460,BYC보통주,BYC,BYC,1975-06-02,KOSPI,주권,,보통주,500,6246150,,1460,1460,1460,001460,001460
KR7001041003,1045,CJ1우선주,CJ우,CJ(1P),1989-08-18,KOSPI,주권,,구형우선주,5000,2260223,,1045,1045,1045,001045,001045
KR700104K010,00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019-08-09,KOSPI,주권,,신형우선주,5000,4226512,,00104K,,0,000000,
KR7001040005,1040,CJ보통주,CJ,CJ Corp.,1973-06-29,KOSPI,주권,,보통주,5000,29176998,,1040,1040,1040,001040,001040
KR7011151008,11155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990-01-13,KOSPI,주권,,구형우선주,500,200000,,11155,11155,11155,011155,011155
KR7011150000,11150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988-11-26,KOSPI,주권,,보통주,500,35930773,,11150,11150,11150,011150,011150
KR7000590000,590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975-12-22,KOSPI,주권,,보통주,5000,1154482,,590,590,590,000590,000590
KR7012030003,12030,DB Inc.보통주,DB,DB Inc.,1993-01-06,KOSPI,주권,,보통주,500,201173933,,12030,12030,12030,012030,012030
KR7005830005,5830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973-06-28,KOSPI,주권,,보통주,500,70800000,,5830,5830,5830,005830,005830
KR7016610008,16610,DB증권보통주,DB증권,DB Securities,1988-06-27,KOSPI,주권,,보통주,5000,42446389,,16610,16610,16610,016610,016610
KR7000990002,990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975-12-12,KOSPI,주권,,보통주,5000,43504588,,990,990,990,000990,000990
KR7001530005,1530,DI동일보통주,DI동일,DI DONGIL,1964-01-04,KOSPI,주권,,보통주,500,19729280,,1530,1530,1530,001530,001530
KR7000211003,215,DL1우선주,DL우,DL(1P),1989-08-21,KOSPI,주권,,구형우선주,5000,1686115,,215,215,215,000215,000215
KR7000210005,210,DL보통주,DL,DL,1976-02-02,KOSPI,주권,,보통주,5000,20955884,,210,210,210,000210,000210
KR737550K011,37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021-01-25,KOSPI,주권,,종류주권,5000,2113885,,37550K,,0,000000,
KR737550K029,37550L,DL이앤씨2우선주(전환),DL이앤씨2우(전환),DL E&C(2PC),2022-04-28,KOSPI,주권,,신형우선주,5000,2111951,,37550L,,0,000000,
KR7375500006,375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021-01-25,KOSPI,주권,,보통주,5000,38693623,,375500,375500,375500,375500,375500
KR7155660004,155660,DSR보통주,DSR,DSR CORP,2013-05-15,KOSPI,주권,,보통주,500,16000000,,155660,155660,155660,155660,155660
KR7069730000,69730,DSR제강보통주,DSR제강,DSRWIRECORP,2003-01-28,KOSPI,주권,,보통주,500,14400000,,69730,69730,69730,069730,069730
KR7017860008,17860,DS단석보통주,DS단석,DS Dansuk,2023-12-22,KOSPI,주권,,보통주,500,17584212,,17860,17860,17860,017860,017860
KR7017940008,17940,E1보통주,E1,E1Corporation,1997-08-27,KOSPI,주권,,보통주,5000,6860000,,17940,17940,17940,017940,017940
KR7365550003,365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020-12-23,KOSPI,부동산투자회사,,보통주,1000,246089000,,365550,365550,365550,365550,365550
KR7383220001,383220,F&F보통주,F&F,F&F,2021-05-21,KOSPI,주권,,보통주,100,38307075,,383220,383220,383220,383220,383220
KR7007700008,7700,F&F홀딩스,F&F홀딩스,F&F Holdings,1984-10-04,KOSPI,주권,,보통주,500,39114367,,7700,7700,7700,007700,007700
KR7078931003,78935,GS1우선주,GS우,GS Holdings(1P),2004-08-05,KOSPI,주권,,구형우선주,5000,1784826,,78935,78935,78935,078935,078935
KR7006360002,6360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981-08-03,KOSPI,주권,,보통주,5000,85581490,,6360,6360,6360,006360,006360
KR7078930005,78930,GS보통주,GS,GS Holdings,2004-08-05,KOSPI,주권,,보통주,5000,92915378,,78930,78930,78930,078930,078930
KR7012630000,12630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996-10-16,KOSPI,주권,,보통주,5000,59741721,,12630,12630,12630,012630,012630
KR7294870001,294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018-06-12,KOSPI,주권,,보통주,5000,65907330,,294870,294870,294870,294870,294870
KR7097230007,97230,HJ중공업보통주,HJ중공업,HJ SHIPBUILDING & CONSTRUCTION,2007-08-31,KOSPI,주권,,보통주,5000,90295344,,97230,97230,97230,097230,097230
KR7014790000,14790,HL D&I보통주,HL D&I,HL D&I HALLA CORPORATION,1994-08-12,KOSPI,주권,,보통주,5000,37858601,,14790,14790,14790,014790,014790
KR7204320006,204320,HL만도보통주,HL만도,HL Mando,2014-10-06,KOSPI,주권,,보통주,1000,46957120,,204320,204320,204320,204320,204320
KR7060980000,60980,HL홀딩스보통주,HL홀딩스,HL Holdings Corporation,2010-05-19,KOSPI,주권,,보통주,5000,9213477,,60980,60980,60980,060980,060980
KR7035000009,35000,HS애드보통주,HS애드,HS Ad,1999-08-11,KOSPI,주권,,보통주,1000,16207644,,35000,35000,35000,035000,035000
KR7015360001,15360,INVENI보통주,INVENI,INVENI,1996-12-24,KOSPI,주권,,보통주,5000,5700000,,15360,15360,15360,015360,015360
KR7175330000,175330,JB금융지주보통주,JB금융지주,"JB Financial Group Co., Ltd.",2013-07-18,KOSPI,주권,,보통주,5000,189884601,,175330,175330,175330,175330,175330
KR7234080000,234080,JW생명과학보통주,JW생명과학,JW LIFESCIENCE,2016-10-27,KOSPI,주권,,보통주,2500,15834554,,234080,234080,234080,234080,234080
KR7001061001,1065,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),1994-10-21,KOSPI,주권,,구형우선주,2500,341951,,1065,1065,1065,001065,001065
KR7001062009,1067,JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998-04-13,KOSPI,주권,,신형우선주,2500,209973,,1067,1067,1067,001067,001067
KR7001060003,1060,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,1976-06-14,KOSPI,주권,,보통주,2500,23285930,,1060,1060,1060,001060,001060
KR7096760004,96760,JW홀딩스 보통주,JW홀딩스,JW HOLDINGS CORPORATION,2007-07-31,KOSPI,주권,,보통주,500,73924942,,96760,96760,96760,096760,096760
KR7105560007,105560,KB금융지주 보통주,KB금융,KB Financial Group,2008-10-10,KOSPI,주권,,보통주,5000,381462103,,105560,105560,105560,105560,105560
KR7432320000,432320,KB스타리츠보통주,KB스타리츠,KB STAR REIT,2022-10-06,KOSPI,부동산투자회사,,보통주,500,101414285,,432320,432320,432320,432320,432320
KR7009070004,9070,KCTC 보통주,KCTC,KCTC,1978-09-29,KOSPI,주권,,보통주,500,30000000,,9070,9070,9070,009070,009070
KR7003620002,3620,KG모빌리티보통주,KG모빌리티,KG Mobility,1975-05-29,KOSPI,주권,,보통주,1000,202374912,,3620,3620,3620,003620,003620
KR7016380008,16380,KG스틸보통주,KG스틸,KG DONGBUSTEEL,1986-02-03,KOSPI,주권,,보통주,5000,100008897,,16380,16380,16380,016380,016380
KR7001390004,1390,KG케미칼보통주,KG케미칼,KG Chemical,1989-08-25,KOSPI,주권,,보통주,1000,67233030,,1390,1390,1390,001390,001390
KR7001940006,1940,KISCO홀딩스보통주,KISCO홀딩스,KISCO Holdings,1989-11-13,KOSPI,주권,,보통주,1000,14176380,,1940,1940,1940,001940,001940
KR7025000001,25000,KPX케미칼보통주,KPX케미칼,KPXCHEMICAL,1994-12-27,KOSPI,주권,,보통주,5000,4378709,,25000,25000,25000,025000,025000
KR7092230002,92230,KPX홀딩스보통주,KPX홀딩스,KPXHOLDINGS,2006-10-12,KOSPI,주권,,보통주,5000,4224646,,92230,92230,92230,092230,092230
KR7000040006,40,KR모터스보통주,KR모터스,KR MOTORS,1976-05-25,KOSPI,주권,,보통주,500,86375184,,40,40,40,000040,000040
KR7093050003,93050,LF보통주,LF,LF,2006-12-01,KOSPI,주권,,보통주,5000,29240000,,93050,93050,93050,093050,093050
KR7003551009,3555,LG1우선주,LG우,LG Corp.(1P),1988-11-18,KOSPI,주권,,구형우선주,5000,3011199,,3555,3555,3555,003555,003555
KR7034220004,34220,LG디스플레이보통주,LG디스플레이,LG Display,2004-07-23,KOSPI,주권,,보통주,5000,500000000,,34220,34220,34220,034220,034220
KR7003550001,3550,LG보통주,LG,LG Corp.,1970-02-13,KOSPI,주권,,보통주,5000,154221585,,3550,3550,3550,003550,003550
KR7051901007,51905,LG생활건강1우선주,LG생활건강우,LG H&H(1P),2001-04-25,KOSPI,주권,,구형우선주,5000,2099697,,51905,51905,51905,051905,051905
KR7051900009,51900,LG생활건강보통주,LG생활건강,LG H&H,2001-04-25,KOSPI,주권,,보통주,5000,15302459,,51900,51900,51900,051900,051900
KR7373220003,373220,LG에너지솔루션보통주,LG에너지솔루션,LG Energy Solution,2022-01-27,KOSPI,주권,,보통주,500,234000000,,373220,373220,373220,373220,373220
KR7032640005,32640,LG유플러스보통주,LG유플러스,LG Uplus,2008-04-21,KOSPI,주권,,보통주,5000,429828355,,32640,32640,32640,032640,032640
KR7011070000,11070,LG이노텍보통주,LG이노텍,LG Innotek,2008-07-24,KOSPI,주권,,보통주,5000,23667107,,11070,11070,11070,011070,011070
KR7066571001,66575,LG전자1우선주,LG전자우,LGELECTRONICS(1P),2002-04-22,KOSPI,주권,,구형우선주,5000,17185992,,66575,66575,66575,066575,066575
KR7066570003,66570,LG전자보통주,LG전자,LGELECTRONICS,2002-04-22,KOSPI,주권,,보통주,5000,162886387,,66570,66570,66570,066570,066570
KR7051911006,51915,LG화학1우선주,LG화학우,"LGCHEM,LTD(1P)",2001-04-25,KOSPI,주권,,구형우선주,5000,7688800,,51915,51915,51915,051915,051915
KR7051910008,51910,LG화학보통주,LG화학,"LGCHEM,LTD",2001-04-25,KOSPI,주권,,보통주,5000,70592343,,51910,51910,51910,051910,051910
KR7079550000,79550,LIG넥스원보통주,LIG넥스원,"LIG Nex1 Co., Ltd.",2015-10-02,KOSPI,주권,,보통주,5000,22000000,,79550,79550,79550,079550,079550
KR7010120004,10120,LS ELECTRIC보통주,LS ELECTRIC,LS ELECTRIC,1994-07-11,KOSPI,주권,,보통주,5000,30000000,,10120,10120,10120,010120,010120
KR7000680009,680,LS네트웍스보통주,LS네트웍스,LSNetworks,1973-11-15,KOSPI,주권,,보통주,5000,78803016,,680,680,680,000680,000680
KR7006260004,6260,LS보통주,LS,LS,1977-06-30,KOSPI,주권,,보통주,5000,31700000,,6260,6260,6260,006260,006260
KR7229640008,229640,LS에코에너지보통주,LS에코에너지,LS Eco Energy,2016-09-22,KOSPI,주권,,보통주,500,30624879,,229640,229640,229640,229640,229640
KR7108320003,108320,LX세미콘보통주,LX세미콘,LX Semicon,2022-11-03,KOSPI,주권,,보통주,500,16264300,,108320,108320,108320,108320,108320
KR7001120005,1120,LX인터내셔널보통주,LX인터내셔널,LX INTERNATIONAL CORP.,1976-01-30,KOSPI,주권,,보통주,5000,38760000,,1120,1120,1120,001120,001120
KR7023150006,23150,MH에탄올보통주,MH에탄올,MHETHANOL,1996-12-24,KOSPI,주권,,보통주,500,7378526,,23150,23150,23150,023150,023150
KR7035420009,35420,NAVER보통주,NAVER,NAVER,2008-11-28,KOSPI,주권,,보통주,100,156852638,,35420,35420,35420,035420,035420
KR7181710005,181710,NHN보통주,NHN,NHN,2013-08-29,KOSPI,주권,,보통주,500,32753139,,181710,181710,181710,181710,181710
KR7338100001,338100,NH프라임리츠보통주,NH프라임리츠,NH Prime REIT,2019-12-05,KOSPI,부동산투자회사,,보통주,500,18660000,,338100,338100,338100,338100,338100
KR7034310003,34310,NICE보통주,NICE,NICEHoldings,2004-02-04,KOSPI,주권,,보통주,500,36757157,,34310,34310,34310,034310,034310
KR7008260002,8260,NI스틸보통주,NI스틸,NI STEEL,1975-06-28,KOSPI,주권,,보통주,500,28600117,,8260,8260,8260,008260,008260
KR7004251005,4255,NPC1우선주,NPC우,NPC(1P),1990-01-15,KOSPI,주권,,구형우선주,500,5280000,,4255,4255,4255,004255,004255
KR7004250007,4250,NPC보통주,NPC,NPC,1969-09-08,KOSPI,주권,,보통주,500,36720000,,4250,4250,4250,004250,004250
KR7456040005,456040,OCI보통주,OCI,OCI,2023-05-30,KOSPI,주권,,보통주,5000,8952495,,456040,456040,456040,456040,456040
KR7010951002,10955,S-Oil1우선주,S-Oil우,S-Oil(1P),1992-05-28,KOSPI,주권,,구형우선주,2500,4021927,,10955,10955,10955,010955,010955
KR7010950004,10950,S-Oil보통주,S-Oil,S-OilCorporation,1987-05-27,KOSPI,주권,,보통주,2500,112582792,,10950,10950,10950,010950,010950
